iter	Passed	Remaining
0	163	163292
1	168	84300
2	174	57899
3	179	44659
4	184	36759
5	189	31433
6	195	27756
7	201	24939
8	207	22793
9	211	20963
10	217	19536
11	222	18344
12	228	17341
13	233	16467
14	240	15786
15	246	15138
16	251	14540
17	257	14021
18	264	13635
19	270	13276
20	275	12836
21	278	12395
22	282	11997
23	285	11627
24	288	11267
25	291	10915
26	293	10583
27	295	10271
28	298	9988
29	300	9721
30	303	9471
31	305	9239
32	308	9028
33	310	8813
34	313	8639
35	316	8465
36	318	8295
37	321	8131
38	323	7968
39	325	7822
40	328	7674
41	333	7598
42	336	7480
43	338	7347
44	340	7230
45	343	7116
46	345	7008
47	348	6914
48	350	6808
49	353	6714
50	357	6644
51	361	6585
52	363	6494
53	365	6405
54	368	6328
55	371	6266
56	373	6184
57	376	6107
58	378	6030
59	380	5956
60	382	5885
61	384	5822
62	387	5757
63	389	5693
64	391	5636
65	394	5580
66	396	5528
67	399	5477
68	403	5445
69	406	5398
70	408	5341
71	410	5291
72	412	5238
73	414	5189
74	417	5143
75	418	5093
76	421	5048
77	423	5010
78	426	4970
79	428	4927
80	430	4886
81	432	4844
82	433	4792
83	436	4761
84	439	4732
85	441	4694
86	444	4663
87	446	4629
88	448	4593
89	451	4560
90	454	4537
91	457	4519
92	461	4498
93	463	4465
94	465	4433
95	467	4402
96	469	4375
97	471	4343
98	474	4317
99	476	4288
100	478	4260
101	480	4230
102	482	4201
103	484	4172
104	486	4147
105	490	4136
106	493	4116
107	495	4095
108	498	4073
109	500	4047
110	502	4021
111	504	3998
112	506	3975
113	509	3956
114	511	3933
115	514	3917
116	516	3899
117	519	3886
118	522	3870
119	524	3848
120	526	3826
121	528	3801
122	530	3779
123	534	3777
124	537	3760
125	539	3745
126	542	3726
127	544	3706
128	546	3688
129	550	3684
130	555	3682
131	557	3664
132	559	3645
133	561	3631
134	564	3619
135	567	3602
136	569	3584
137	571	3567
138	573	3551
139	576	3540
140	579	3527
141	580	3506
142	582	3490
143	584	3473
144	586	3458
145	589	3447
146	591	3432
147	593	3419
148	596	3404
149	597	3387
150	599	3372
151	601	3358
152	604	3344
153	607	3338
154	610	3330
155	613	3316
156	615	3305
157	618	3295
158	620	3281
159	622	3269
160	624	3253
161	626	3240
162	628	3226
163	630	3212
164	632	3201
165	635	3193
166	638	3185
167	640	3172
168	642	3160
169	644	3147
170	646	3134
171	648	3121
172	650	3109
173	652	3097
174	655	3087
175	657	3077
176	659	3065
177	661	3053
178	663	3041
179	665	3030
180	667	3019
181	670	3011
182	672	3003
183	674	2992
184	676	2980
185	678	2968
186	680	2956
187	682	2946
188	684	2937
189	687	2929
190	688	2918
191	690	2907
192	692	2897
193	694	2886
194	696	2876
195	699	2868
196	701	2859
197	703	2849
198	705	2838
199	707	2828
200	709	2818
201	711	2809
202	713	2801
203	715	2792
204	717	2783
205	719	2773
206	721	2763
207	723	2753
208	725	2744
209	726	2733
210	728	2724
211	731	2717
212	732	2707
213	734	2699
214	738	2694
215	741	2689
216	744	2685
217	746	2678
218	748	2670
219	750	2662
220	752	2653
221	755	2647
222	757	2639
223	759	2631
224	761	2622
225	764	2617
226	766	2609
227	768	2601
228	771	2598
229	773	2590
230	775	2582
231	777	2574
232	779	2566
233	781	2558
234	784	2553
235	786	2546
236	788	2537
237	790	2530
238	792	2524
239	794	2517
240	796	2509
241	800	2508
242	803	2501
243	805	2494
244	806	2486
245	808	2478
246	810	2470
247	812	2464
248	815	2459
249	817	2451
250	819	2444
251	820	2436
252	823	2430
253	825	2424
254	827	2418
255	831	2416
256	834	2412
257	836	2407
258	838	2399
259	840	2393
260	843	2389
261	845	2382
262	847	2376
263	849	2369
264	852	2363
265	854	2358
266	856	2351
267	859	2347
268	861	2341
269	863	2334
270	865	2327
271	867	2321
272	869	2314
273	871	2308
274	873	2303
275	875	2297
276	878	2291
277	880	2286
278	882	2280
279	884	2273
280	886	2267
281	888	2263
282	891	2258
283	893	2252
284	895	2245
285	897	2240
286	899	2233
287	901	2229
288	904	2225
289	906	2219
290	908	2212
291	910	2206
292	912	2201
293	915	2197
294	917	2193
295	920	2189
296	922	2183
297	924	2177
298	926	2172
299	928	2166
300	930	2161
301	933	2157
302	936	2154
303	939	2149
304	941	2144
305	943	2139
306	945	2133
307	948	2131
308	951	2126
309	953	2121
310	955	2116
311	957	2110
312	959	2105
313	961	2099
314	963	2095
315	965	2090
316	968	2085
317	970	2080
318	972	2076
319	974	2070
320	977	2066
321	979	2061
322	981	2056
323	983	2051
324	985	2047
325	987	2042
326	989	2037
327	992	2033
328	994	2028
329	996	2023
330	998	2017
331	1000	2012
332	1003	2009
333	1006	2006
334	1008	2002
335	1010	1997
336	1012	1992
337	1014	1987
338	1016	1982
339	1018	1977
340	1021	1974
341	1024	1970
342	1025	1965
343	1027	1959
344	1029	1954
345	1031	1949
346	1033	1944
347	1036	1941
348	1038	1937
349	1040	1932
350	1042	1927
351	1044	1922
352	1046	1917
353	1048	1913
354	1051	1910
355	1053	1906
356	1055	1900
357	1057	1896
358	1059	1891
359	1061	1887
360	1063	1883
361	1066	1880
362	1069	1876
363	1071	1871
364	1073	1866
365	1075	1862
366	1076	1857
367	1078	1852
368	1081	1850
369	1083	1845
370	1085	1840
371	1087	1835
372	1089	1831
373	1092	1829
374	1095	1826
375	1098	1822
376	1100	1817
377	1102	1813
378	1104	1809
379	1106	1804
380	1108	1801
381	1111	1798
382	1114	1795
383	1116	1791
384	1119	1788
385	1121	1784
386	1124	1780
387	1127	1779
388	1130	1775
389	1132	1771
390	1134	1767
391	1136	1763
392	1139	1759
393	1142	1757
394	1145	1754
395	1148	1750
396	1150	1747
397	1152	1743
398	1157	1743
399	1160	1740
400	1163	1737
401	1165	1734
402	1168	1731
403	1171	1728
404	1173	1723
405	1175	1719
406	1177	1714
407	1178	1710
408	1180	1705
409	1182	1701
410	1184	1697
411	1186	1693
412	1188	1688
413	1189	1684
414	1191	1679
415	1194	1677
416	1197	1674
417	1200	1671
418	1202	1667
419	1204	1663
420	1206	1659
421	1208	1654
422	1210	1650
423	1212	1646
424	1214	1643
425	1217	1640
426	1219	1635
427	1220	1631
428	1222	1627
429	1224	1623
430	1226	1619
431	1229	1616
432	1232	1613
433	1234	1610
434	1237	1607
435	1239	1603
436	1241	1598
437	1243	1595
438	1245	1591
439	1246	1587
440	1248	1583
441	1250	1579
442	1253	1576
443	1255	1572
444	1257	1568
445	1259	1564
446	1261	1560
447	1263	1557
448	1265	1552
449	1267	1549
450	1269	1545
451	1271	1541
452	1272	1537
453	1274	1533
454	1276	1529
455	1278	1525
456	1280	1521
457	1283	1518
458	1285	1515
459	1288	1512
460	1290	1508
461	1292	1504
462	1294	1501
463	1296	1497
464	1298	1493
465	1300	1490
466	1303	1487
467	1305	1484
468	1307	1480
469	1309	1476
470	1311	1472
471	1313	1469
472	1315	1465
473	1318	1463
474	1320	1459
475	1322	1455
476	1324	1451
477	1326	1448
478	1328	1444
479	1330	1441
480	1333	1439
481	1336	1435
482	1338	1432
483	1340	1428
484	1342	1425
485	1343	1421
486	1346	1418
487	1348	1414
488	1349	1410
489	1351	1407
490	1353	1403
491	1355	1399
492	1357	1396
493	1359	1392
